,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,0.6008929029603799,0.76805,11.98999810218811,12.125997066497803,0.01,100,True
1,1,2,0.40677973290284475,0.8498166666666667,11.36100721359253,23.56500506401062,0.01,100,True
2,1,3,0.368046703611811,0.8629166666666667,12.781001091003418,36.42900013923645,0.01,100,True
3,2,1,0.5775521042943,0.7763166666666667,13.383000135421753,13.535999536514282,0.01,100,False
4,2,2,0.40426850445568563,0.8500333333333333,12.808997869491577,26.42599892616272,0.01,100,False
5,2,3,0.36665310996274153,0.8626833333333334,12.695998191833496,39.1879997253418,0.01,100,False
6,3,1,1.0327449053525926,0.6002,12.79699993133545,13.803001403808594,0.01,1000,True
7,3,2,0.5644325772921245,0.78455,12.196001052856445,26.064001083374023,0.01,1000,True
8,3,3,0.47072151402632395,0.82555,12.190000772476196,38.35100245475769,0.01,1000,True
9,4,1,1.0729856749375661,0.5878666666666666,13.079996347427368,13.968998908996582,0.01,1000,False
10,4,2,0.568612756828467,0.77885,11.889999151229858,25.930999279022217,0.01,1000,False
11,4,3,0.45963826527198154,0.8287333333333333,11.834998369216919,37.835999488830566,0.01,1000,False
12,5,1,0.6172091939051946,0.76325,12.888003587722778,13.006000995635986,0.001,100,True
13,5,2,0.4080559404939413,0.8490166666666666,12.606029033660889,25.699028491973877,0.001,100,True
14,5,3,0.36783679127693175,0.8638,13.484999656677246,39.25299882888794,0.001,100,True
15,6,1,0.582214796145757,0.7798833333333334,13.520522117614746,13.672521352767944,0.001,100,False
16,6,2,0.4049171018103758,0.85155,12.24700117111206,25.98852252960205,0.001,100,False
17,6,3,0.3686147224903107,0.8623333333333333,12.191001176834106,38.247522830963135,0.001,100,False
18,7,1,1.0506460110346476,0.5958666666666667,12.92099666595459,13.645997762680054,0.001,1000,True
19,7,2,0.538643925388654,0.7934333333333333,11.856001615524292,25.57599949836731,0.001,1000,True
20,7,3,0.44513487766186394,0.8355833333333333,11.782999753952026,37.43699884414673,0.001,1000,True
21,8,1,0.9951661924521128,0.6156,12.350998401641846,13.23599910736084,0.001,1000,False
22,8,2,0.5353450531760852,0.7920833333333334,11.771998643875122,25.075998306274414,0.001,1000,False
23,8,3,0.4361171434322993,0.84005,12.135997533798218,37.289998054504395,0.001,1000,False
